course_id,subject,course_number,prereq_subject,prereq_number
166434,NEU,163C,NEU,100B
166434,NEU,163C,PSYCH,110
166434,NEU,163C,INTEGBI,132
164433,NEU,164,NEU,100A
164404,NEU,171L,BIOLOGY,1A
164404,NEU,171L,BIOLOGY,1AL
164404,NEU,171L,PHYSICS,8A
164404,NEU,171L,PHYSICS,8B
164404,NEU,171L,NEU,100A
164844,NEU,172L,NEU,100A
164844,NEU,172L,NEU,100B
164844,NEU,172L,DATA,C8
116790,NUCENG,100,PHYSICS,7A
116790,NUCENG,100,PHYSICS,7B
116790,NUCENG,100,MATH,53
116791,NUCENG,101,PHYSICS,7C
116799,NUCENG,120,ENGIN,40
116807,NUCENG,161,ENGIN,40
116809,NUCENG,167,ENGIN,120
116814,NUCENG,C180,PHYSICS,7C
116814,NUCENG,C180,PHYSICS,5C
117899,PERSIAN,100A,PERSIAN,20A
117899,PERSIAN,100A,PERSIAN,20B
117896,PERSIAN,1A,PERSIAN,1B
117935,PERSIAN,20A,PERSIAN,1A
117935,PERSIAN,20A,PERSIAN,1B
117935,PERSIAN,20A,PERSIAN,11A
117935,PERSIAN,20A,PERSIAN,11B
118357,PHYSICS,105,PHYSICS,5A
118357,PHYSICS,105,PHYSICS,5B
118357,PHYSICS,105,PHYSICS,5C
118357,PHYSICS,105,PHYSICS,7A
118357,PHYSICS,105,PHYSICS,7B
118357,PHYSICS,105,PHYSICS,7C
118359,PHYSICS,110A,PHYSICS,5A
118359,PHYSICS,110A,PHYSICS,5B
118359,PHYSICS,110A,PHYSICS,5C
118359,PHYSICS,110A,PHYSICS,7A
118359,PHYSICS,110A,PHYSICS,7B
118359,PHYSICS,110A,PHYSICS,7C
118363,PHYSICS,111B,PHYSICS,111A
118363,PHYSICS,111B,PHYSICS,137A
118364,PHYSICS,112,PHYSICS,5A
118364,PHYSICS,112,PHYSICS,5B
118364,PHYSICS,112,PHYSICS,5C
118364,PHYSICS,112,PHYSICS,7A
118364,PHYSICS,112,PHYSICS,7B
