course,requirement_group,option_id,prerequisite
MATH 124,1,1,MATH 54
MATH 124,2,1,MATH 55
MATH 124,3,1,MATH 53
MATH 125A,1,1,MATH 104
MATH 125A,1,2,MATH 113
MATH 135,1,1,MATH 104
MATH 135,1,2,MATH 113
MATH 136,1,1,MATH 104
MATH 136,1,2,MATH 113
MATH 156,1,1,MATH 53
MATH 156,1,2,MATH 54
MATH 156,1,3,MATH 56
MATH 156,1,4,MATH 91
MATH 52,1,1,MATH 51
MATH 56,1,1,MATH 10B
MATH 56,1,2,MATH 1B
MATH 56,1,3,MATH 52
MATH 56,1,4,MATH N10B
MATH 56,1,5,MATH N1B
MATSCI 123,1,1,PHYSICS 7C
MATSCI 131,1,1,ENGIN 29
MATSCI 131,2,1,PHYSICS 7A
MATSCI 131,3,1,ENGIN 26
MATSCI 159,1,1,CHEM 120B
MATSCI 159,1,2,ENGIN 40
MATSCI 159,1,3,PHYSICS 5C
MBN 103,1,1,MCELLBI 32
MBN 103,2,1,MCELLBI 102
MBN 108A,1,1,BIOLOGY 102
MBN 170,1,1,MBN 103
MBN 190,1,1,MBN 103
MCELLBI 102,1,1,BIOLOGY 1A
MCELLBI 102,1,2,CHEM 3B
MCELLBI 104,1,1,BIOLOGY 1A
MCELLBI 120,1,1,CHEM C130
MCELLBI 120,1,2,MCELLBI 102
MCELLBI 120,1,3,MCELLBI 104
MCELLBI 120,1,4,MCELLBI C100A
MCELLBI 120L,1,1,MCELLBI 102
MCELLBI 120L,1,2,MCELLBI C100A
MCELLBI 132,1,1,MCELLBI 102
MCELLBI 132,2,1,BIOLOGY 1A
MCELLBI 132,3,1,BIOLOGY 1AL
MCELLBI 132,4,1,BIOLOGY 1B
MCELLBI 132,5,1,MCELLBI 104
MCELLBI 132,5,2,MCELLBI 110
MCELLBI 133L,1,1,BIOLOGY 1A
MCELLBI 135A,1,1,BIOLOGY 1A
MCELLBI 135A,2,1,CHEM C130
MCELLBI 135A,2,2,MCELLBI 102
MCELLBI 135A,2,3,MCELLBI C110A
MCELLBI 136,1,1,PHYSICS 8A
MCELLBI 136,2,1,BIOLOGY 1A
MCELLBI 136,3,1,BIOLOGY 1AL
MCELLBI 136,4,1,BIOLOGY 1B
MCELLBI 136,5,1,PHYSICS 8B
MCELLBI 140,1,1,BIOLOGY 1A
MCELLBI 140,2,1,BIOLOGY 1AL
MCELLBI 141,1,1,BIOLOGY 1A
MCELLBI 141,2,1,BIOLOGY 1AL
MCELLBI 141,3,1,BIOLOGY 1B
